population,n_responder,n_non_responder,median_responder,median_non_responder,median_difference,mannwhitney_u,p_value,p_value_adj,significant,welch_p_value,cliffs_delta,effect_size_label,note
cd4_t_cell,331,325,30.2098,29.8225,0.38729999999999976,59854.5,0.012429331170889322,0.062146655854446606,False,0.004514854987811059,0.11279572391354868,negligible,
nk_cell,331,325,14.7397,14.9598,-0.2201000000000004,50081.0,0.12674471572310064,0.3168617893077516,False,0.16442215971309743,-0.06891006274692076,negligible,
monocyte,331,325,19.7945,20.276833333333332,-0.48233333333333306,51079.0,0.26449173372700063,0.43224469202296695,False,0.4523798581962956,-0.05035556588426679,negligible,
b_cell,331,325,9.6714,9.844533333333333,-0.17313333333333247,51499.0,0.34579575361837356,0.43224469202296695,False,0.16272287792375056,-0.04254706019056472,negligible,
cd8_t_cell,331,325,24.896933333333333,25.009733333333333,-0.11280000000000001,52591.0,0.6221436939857599,0.6221436939857599,False,0.7665741003064274,-0.022244945386939344,negligible,
